Family_fa,Given_fa,Paper_articleTitle,Paper_authorFullNames,pctwhite,pctblack,pctapi,pctaian,pct2prace,pcthispanic,fa_insti,country
Workneh,Tewodros W.,Chinese Multinationals in the Ethiopian Telecommunications Sector,"Workneh, Tewodros W. (1)",(S),97.72,(S),0,(S),0,"Univ Oregon, Journalism & Commun, Eugene, OR 97405 USA",USA
Gunasekaran,A,E-commerce in Hong Kong: an empirical perspective and analysis,"Gunasekaran, A (1)| Ngai, EWT (2)",(S),0,98,0,(S),0,"Univ Massachusetts, Dept Management, N Dartmouth, MA 02747 USA",USA
Sohn,Dongyoung,A structural solution to communication dilemmas in a virtual community,"Sohn, Dongyoung (1)| Leckenby, John D. (2)",46.75,2.11,47.79,0.52,1.67,1.17,"Univ S Florida, Sch Mass Commun, Tampa, FL 33620 USA",USA
Chew,Han Ei,THE USE OF ONLINE SOCIAL NETWORKING BY RURAL YOUTH AND ITS EFFECTS ON COMMUNITY ATTACHMENT,"ew, Han Ei (1)| LaRose, Robert (2)| Steinfield, Charles (3)| Velasquez, Alcides (4)",37.73,14.54,39.7,0.46,3.69,3.87,"Michigan State Univ, Coll Comm Arts & Sci, TISM, E Lansing, MI 48825 USA",USA
Lee,Joonseong,"""""""Make Korea with America Great Again"""": An Articulation and Assemblage of South Korean Extreme Right Practices""","Lee, Joonseong (1)| Brown, Katherine E. (2)",35.95,16.33,42.22,0.97,2.64,1.89,"Calif State Univ, Dept Commun, San Marcos, CA 92096 USA",USA
Lee,Kyung,"When Big Brother Uses Twitter, Too: Productive Forms of Policing and the Role of Media in the Seoul G20 Protests in South Korea","Lee, Kyung (1)",35.95,16.33,42.22,0.97,2.64,1.89,"Univ Penn, Annenberg Sch Commun, 3620 Walnut St, Philadelphia, PA 19104 USA",USA
Lee,Seok Ho,A Comparative Investigation Into Press-State Relations: Comparing Source Structures in Three News Agencies' Coverage of the North Korean Missile Crisis,"Lee, Seok Ho (1)| Wang, Qian (2)",35.95,16.33,42.22,0.97,2.64,1.89,"Univ Texas Austin, Austin, TX 78712 USA",USA
Lee,Jiyoung,"Hasty discussion, cross-cutting exposure, and tolerance: A comparative study of South Korean and American online discussants","Lee, Jiyoung (1)| Choi, Yunjung (2)",35.95,16.33,42.22,0.97,2.64,1.89,"Syracuse Univ, SI Newhouse Sch Publ Commun, Syracuse, NY USA",USA
Lee,Min Kyung,"Understanding perception of algorithmic decisions: Fairness, trust, and emotion in response to algorithmic management","Lee, Min Kyung (1)",35.95,16.33,42.22,0.97,2.64,1.89,"Carnegie Mellon Univ, 4615 Forbes Ave, Pittsburgh, PA 15213 USA",USA
Lee,Sang Yeal,Weathering the crisis: Effects of stealing thunder in crisis communication,"Lee, Sang Yeal (1)",35.95,16.33,42.22,0.97,2.64,1.89,"W Virginia Univ, Coll Media, 313 Martin Hall, Morgantown, WV 26506 USA",USA
Lee,Jayeon,"The more attacks, the more retweets: Trump's and Clinton's agenda setting on Twitter","Lee, Jayeon (1)| Xu, Weiai (2)",35.95,16.33,42.22,0.97,2.64,1.89,"Lehigh Univ, Dept Journalism & Commun, 33 Coppee Dr, Bethlehem, PA 18015 USA",USA
Lee,Sun Young,Negative spillover in corporate-nonprofit partnerships: Exploring the effects of company-cause congruence and organization-public relationships,"Lee, Sun Young (1)| Rim, Hyejoon (2)",35.95,16.33,42.22,0.97,2.64,1.89,"Texas Tech Univ, Coll Media & Commun, Dept Publ Relat, 3003 15th St, Lubbock, TX 79409 USA",USA
Lee,So Young,"""Never easy to say """"sorry"""": Exploring the interplay of crisis involvement, brand image, and message appeal in developing effective corporate apologies""","Lee, So Young (1)| Atkinson, Lucy (2)",35.95,16.33,42.22,0.97,2.64,1.89,"Univ Texas Austin, Moody Coll Commun, Stan Richards Sch Advertising & Publ Relat, 300 W Dean Keeton St STOP A1200, Austin, TX 78712 USA",USA
Lee,Tae Ho,The status of corporate social responsibility research in public relations: A content analysis of published articles in eleven scholarly journals from 1980 to 2015,"Lee, Tae Ho (1)",35.95,16.33,42.22,0.97,2.64,1.89,"Univ North Carolina Chapel Hill, Sch Media & Journalism, 387 Carroll Hall,Campus Box 3365, Chapel Hill, NC 27599 USA",USA
Lee,Yeunjae,"Crisis perceptions, relationship, and communicative behaviors of employees: Internal public segmentation approach","Lee, Yeunjae (1)",35.95,16.33,42.22,0.97,2.64,1.89,"Univ Miami, Sch Commun, Dept Strateg Commun, 5100 Brunson Dr, Coral Gables, FL 33124 USA",USA
Lee,Chul-joo,The influence of knowledge and deference toward scientific authority: A media effects model for public attitudes toward nanotechnology,"Lee, Chul-joo (1)| Scheufele, Dietram A. (2)",35.95,16.33,42.22,0.97,2.64,1.89,"Univ Penn, Annenberg Sch Commun, Philadelphia, PA 19104 USA",USA
Lee,Tien-Tsung,"""Virtual Theme Collection: """"Trust and Credibility in News Media""""""","Lee, Tien-Tsung (1)",35.95,16.33,42.22,0.97,2.64,1.89,"Univ Kansas, Journalism & Mass Commun, Lawrence, KS 66045 USA",USA
Lee,Angela M.,Motivational Consumption Model: Exploring the Psychological Structure of News Use,"Lee, Angela M. (1)| Chyi, Hsiang Iris (2)",35.95,16.33,42.22,0.97,2.64,1.89,"Univ Texas Dallas, Richardson, TX 75080 USA",USA
Lee,Sun Kyong,"Immigrant Workers' Organizational Temporality: Association With Cultural Time Orientation, Acculturation, and Mobile Technology Use","Lee, Sun Kyong (1)| Flores, Marisa L. (2)",35.95,16.33,42.22,0.97,2.64,1.89,"Univ Oklahoma, Dept Commun, 610 Elm Ave, Norman, OK 73019 USA",USA
Lee,Seungyoon,Creative Interaction and Multiplexity in Intraorganizational Networks,"Lee, Seungyoon (1)| Lee, Cheolhan (2)",35.95,16.33,42.22,0.97,2.64,1.89,"Purdue Univ, Brian Lamb Sch Commun, W Lafayette, IN 47907 USA",USA
Lee,Eun-Ju,Character-based team identification and referent informational influence in computer-mediated communication,"Lee, Eun-Ju (1)",35.95,16.33,42.22,0.97,2.64,1.89,"Univ Calif Davis, Dept Commun, Davis, CA 95616 USA",USA
Lee,Sungkyoung,Distraction Effects of Smoking Cues in Antismoking Messages: Examining Resource Allocation to Message Processing as a Function of Smoking Cues and Argument Strength,"Lee, Sungkyoung (1)| Cappella, Joseph N. (2)",35.95,16.33,42.22,0.97,2.64,1.89,"Univ Penn, Annenberg Sch Commun, Ctr Excellence Canc Commun Res, Philadelphia, PA 19104 USA",USA
Lee,Yoon-Joo,Empowerment or alienation: Chinese and Korean immigrant mothers' perception of mobile media in constructing their social role and facilitating parenting practices in the US,"Lee, Yoon-Joo (1)| Chen, Huan (2)",35.95,16.33,42.22,0.97,2.64,1.89,"Washington State Univ, Dept Strateg Commun, Edward R Murrow Coll Commun, Pullman, WA 99164 USA",USA
Lee,Jeong Kyu,Examining the Protective Effects of Brand Equity in the keepin' it REAL Substance Use Prevention Curriculum,"Lee, Jeong Kyu (1)| Hecht, Michael L. (2)",35.95,16.33,42.22,0.97,2.64,1.89,"ClearWay Minnesota, Dept Res Programs, Minneapolis, MN 55425 USA",USA
Lee,Moon J.,Effective message design targeting college students for the prevention of binge-drinking: Basing design on rebellious risk-taking tendency,"Lee, Moon J. (1)| Bichard, Shannon L. (2)",35.95,16.33,42.22,0.97,2.64,1.89,"Washington State Univ, Edward R Murrow Sch Commun, Pullman, WA 99164 USA",USA
Lee,Hyunmin,Utilizing Audiovisual and Gain-Framed Messages to Attenuate Psychological Reactance Toward Weight Management Health Messages,"Lee, Hyunmin (1)| Cameron, Glen T. (2)",35.95,16.33,42.22,0.97,2.64,1.89,"St Louis Univ, Dept Commun, St Louis, MO 63103 USA",USA
Lee,Tae Kyoung,The Motives for and Consequences of Viewing Television Medical Dramas,"Lee, Tae Kyoung (1)| Taylor, Laramie D. (2)",35.95,16.33,42.22,0.97,2.64,1.89,"Cornell Univ, Dept Commun, Ithaca, NY 14853 USA",USA
Lee,Ji Young,To Tweet or to Retweet? That Is the Question for Health Professionals on Twitter,"Lee, Ji Young (1)| Sundar, S. Shyam (2)",35.95,16.33,42.22,0.97,2.64,1.89,"Ohio State Univ, Dept Commun, Columbus, OH 43210 USA",USA
Lee,Doohwang,A socio-cognitive model of video game usage,"Lee, Doohwang (1)| LaRose, Robert (2)",35.95,16.33,42.22,0.97,2.64,1.89,"Michigan State Univ, Dept Telecommun Informat Studies & Media, E Lansing, MI 48824 USA",USA
Lee,Chul-Joo,The Role of Internet Engagement in the Health-Knowledge Gap,"Lee, Chul-Joo (1)",35.95,16.33,42.22,0.97,2.64,1.89,"Ohio State Univ, Sch Commun, Columbus, OH 43210 USA",USA
Lee,Kevin C.,Student Instant Message Use in a Ubiquitous Computing Environment: Effects of Deficient Self-Regulation,"Lee, Kevin C. (1)| Perry, Stephen D. (2)",35.95,16.33,42.22,0.97,2.64,1.89,"Western Carolina Univ, Dept Commun, Cullowhee, NC 37803 USA",USA
Lee,Seungcheol Austin,"Reciprocity in Computer-Human Interaction: Source-Based, Norm-Based, and Affect-Based Explanations","Lee, Seungcheol Austin (1)| Liang, Yuhua (Jake) (2)",35.95,16.33,42.22,0.97,2.64,1.89,"No Kentucky Univ, Dept Commun, Highland Hts, KY 41099 USA",USA
Lee,Jong-Eun Roselyn,"""""""Whose Second Life Is This?"""" How Avatar-Based Racial Cues Shape Ethno-Racial Minorities' Perception of Virtual Worlds""","Lee, Jong-Eun Roselyn (1)| Park, Sung Gwan (2)",35.95,16.33,42.22,0.97,2.64,1.89,"Hope Coll, Dept Commun, Holland, MI 49424 USA",USA
Lee,Yu-Hao,Does Digital Game Interactivity Always Promote Self-Efficacy?,"Lee, Yu-Hao (1)",35.95,16.33,42.22,0.97,2.64,1.89,"Univ Florida, Dept Telecommun, Gainesville, FL 32611 USA",USA
Lee,Hyunji,"""A """"real' fantasy: hybridity, Korean drama, and pop cosmopolitans""","Lee, Hyunji (1)",35.95,16.33,42.22,0.97,2.64,1.89,"Univ Missouri, Columbia, MO USA",USA
Lee,Young-Im,From first daughter to first lady to first woman president: Park Geun-Hye's path to the South Korean presidency,"Lee, Young-Im (1)",35.95,16.33,42.22,0.97,2.64,1.89,"Univ Missouri, Dept Polit Sci, Polit Sci, St Louis, MO 63121 USA",USA
Lee,Junghee,The computer-mediated communication network: exploring the linkage between the online community and social capital,"Lee, Junghee (1)| Lee, Hyunjoo (2)",35.95,16.33,42.22,0.97,2.64,1.89,"SUNY Buffalo, Dept Commun, Buffalo, NY 14260 USA",USA
Lee,Jin,Mediated Superficiality and Misogyny Through Cool on Tinder,"Lee, Jin (1)",35.95,16.33,42.22,0.97,2.64,1.89,"Southern Illinois Univ Carbondale, Coll Mass Commun & Media Arts, 1100 Lincoln Dr, Carbondale, IL 62901 USA",USA
Lee,Hyun-Hwa,Consumer Attitudes Toward Online Mass Customization: An Application of Extended Technology Acceptance Model,"Lee, Hyun-Hwa (1)| Chang, Eunyoung (2)",35.95,16.33,42.22,0.97,2.64,1.89,"Univ Texas Austin Univ Stn, Sch Human Ecol, Austin, TX USA",USA
Lee,Ee Lin,Thou Soo and Aih Auan: Communicating Dissatisfaction in a Chinese Malaysian Community,"Lee, Ee Lin (1)| Hall, Bradford J. (2)",35.95,16.33,42.22,0.97,2.64,1.89,"Western Washington Univ, Dept Commun, Bellingham, WA 98225 USA",USA
Lee,Dong Hwan,Conceptualization and measurement of multidimensionality of integrated marketing communications,"Lee, Dong Hwan (1)| Park, Chan Wook (2)",35.95,16.33,42.22,0.97,2.64,1.89,"Manhattan Coll, Sch Business, Riverdale, NY USA",USA
Lee,Wei-Na,Exploring the Role of Culture in Advertising: Resolving Persistent Issues and Responding to Changes,"Lee, Wei-Na (1)",35.95,16.33,42.22,0.97,2.64,1.89,"Univ Texas Austin, Moody Coll Commun, Stan Richards Sch Advertising & Publ Relat, Commun, Austin, TX 78712 USA",USA
Lee,ByungGu,Framing Risk with Numbers: The Framing Effects of Risk Assertions and Number Formats on Emotions and Risk Perceptions,"e, ByungGu (1)| Liu, Jiawei (2)| Choung, Hyesun (3)| McLeod, Douglas (4)",35.95,16.33,42.22,0.97,2.64,1.89,"Univ Wisconsin, Sch Journalism & Mass Commun, 821 Univ Ave, Madison, WI 53706 USA",USA
Lee,Ki-Young,The effect of 3-D product visualisation on the strength of brand attitude,"ee, Ki-Young (1)| Li, Hairong (2)| Edwards, Steven M. (3)",35.95,16.33,42.22,0.97,2.64,1.89,"Rochester Inst Technol, Dept Commun, Rochester, NY 14623 USA",USA
Lee,Nam-Jin,"Framing policy debates - Issue dualism, journalistic frames, and opinions on controversial policy issues","ee, Nam-Jin (1)| McLeod, Douglas M. (2)| Shah, Dhavan V. (3)",35.95,16.33,42.22,0.97,2.64,1.89,"Univ Wisconsin, Sch Journalism & Mass Commun, Madison, WI 53706 USA",USA
Lee,Kwan Min,Children's responses to computer-synthesized speech in educational media: Gender consistency and gender similarity effects,"ee, Kwan Min (1)| Liao, Katharine (2)| Ryu, Seoungho (3)",35.95,16.33,42.22,0.97,2.64,1.89,"Univ So Calif, Annenberg Sch Commun, Los Angeles, CA 90089 USA",USA
Lee,Sunghee,Linguistic minorities in a health survey,"e, Sunghee (1)| Nguyen, Hoang Anh (2)| Jawad, May (3)| Kurata, John (4)",35.95,16.33,42.22,0.97,2.64,1.89,"Univ Calif Los Angeles, Ctr Hlth Policy Res, Los Angeles, CA 90024 USA",USA
Ling,Qi,Constructing a 'first' First Lady through memory: The case of China's Peng Liyuan,"Ling, Qi (1)| Berkowitz, Dan (2)",33.76,4.86,55.2,0.22,3.11,2.85,"Univ Iowa, Sch Journalism & Mass Commun, 100 Adler Journalism Bldg, Iowa City, IA 52242 USA",USA
Meng,Jingbo,Your Health Buddies Matter: Preferential Selection and Social Influence on Weight Management in an Online Health Social Network,"Meng, Jingbo (1)",30.93,0.51,57.01,0.38,1.05,10.12,"Michigan State Univ, Dept Commun, Commun Arts & Sci Bldg,Room 481,404 Wilson Rd, E Lansing, MI 48824 USA",USA
Bigman,Cabral A.,Social Comparison Framing in Health News and Its Effect on Perceptions of Group Risk,"Bigman, Cabral A. (1)",28.4,1,(S),68.2,1.2,(S),"Harvard Univ, Sch Publ Hlth, Dana Farber Canc Inst, Cambridge, MA 02138 USA",USA
Jung,Eun Hwa,Extending the Television Brand: An Examination of Why Consumers Use Broadcast Network Web Sites,"Jung, Eun Hwa (1)| Walden, Justin (2)",28.4,0.49,67.76,0.15,1.79,1.42,"Penn State Univ, Coll Commun, University Pk, PA 16802 USA",USA
Chock,T. Makana,"Is it Seeing or Believing? Exposure, Perceived Realism, and Emerging Adults' Perceptions of Their Own and Others' Attitudes About Relationships","Chock, T. Makana (1)",27.73,(S),44.12,(S),23.84,4.1,"Syracuse Univ, SI Newhouse Sch Publ Commun, Syracuse, NY 13244 USA",USA
Nan,Xiaoli,The relative persuasive effect of gain- versus loss-framed messages: Exploring the moderating role of the desirability of end-states,"Nan, Xiaoli (1)",26.78,(S),67.14,(S),2.72,1.42,"Univ Wisconsin, Dept Life Sci Commun, Madison, WI 53706 USA",USA
Roh,Soojin,"Examining the paracrisis online: The effects of message source, response strategies and social vigilantism on public responses","Roh, Soojin (1)",24.71,0.55,72.12,0,1.64,0.98,"Syracuse Univ, SI Newhouse Sch Publ Commun, 215 Univ Pl, Syracuse, NY 13244 USA",USA
Roh,Sungjong,The Word Outside and the Pictures in Our Heads: Contingent Framing Effects of Labels on Health Policy Preferences by Political Ideology,"Roh, Sungjong (1)| Niederdeppe, Jeff (2)",24.71,0.55,72.12,0,1.64,0.98,"Cornell Univ, Dept Commun, Ithaca, NY 14853 USA",USA
Park,Yong Jin,Personal network on the Internet: How the socially marginalized stay marginalized in personal network diversity and multiplicity,"Park, Yong Jin (1)| Yang, Grace S. (2)",23.34,0.79,72.98,0.16,1.74,1,"Howard Univ, Sch Commun, 525 Bryant St NW,Room W-3,207M, Washington, DC 20059 USA",USA
Park,Keonyoung,"Social media hoaxes, political ideology, and the role of issue confidence","Park, Keonyoung (1)| Rim, Hyejoon (2)",23.34,0.79,72.98,0.16,1.74,1,"Syracuse Univ, SI Newhouse Sch Publ Commun, Syracuse, NY 13244 USA",USA
Park,Hyojung,Relationship building and the use of Web sites: How Fortune 500 corporations use their Web sites to build relationships,"Park, Hyojung (1)| Reber, Bryan H. (2)",23.34,0.79,72.98,0.16,1.74,1,"Univ Georgia, Grady Coll Journalism & Mass Commun, Athens, GA 30602 USA",USA
Park,Namkee,Effects of online news forum on corporate reputation,"Park, Namkee (1)| Lee, Kwan Min (2)",23.34,0.79,72.98,0.16,1.74,1,"Univ Oklahoma, Gaylord Coll Journalism & Mass Commun, Norman, OK 73019 USA",USA
Park,Sun-A,Consumer health crisis management: Apple's crisis responsibility for iPod-related hearing loss,"Park, Sun-A (1)",23.34,0.79,72.98,0.16,1.74,1,"Univ Missouri, Missouri Sch Journalism, Columbia, MO 65211 USA",USA
Park,Chang Sup,News Engagement on Social Media and Democratic Citizenship: Direct and Moderating Roles of Curatorial News Use in Political Involvement,"Park, Chang Sup (1)| Kaye, Barbara K. (2)",23.34,0.79,72.98,0.16,1.74,1,"Bloomsburg Univ Penn, Mass Commun, Bloomsburg, PA 17815 USA",USA
Park,Jin Seong,"Prescription drug advertising, disease knowledge, and older adults' optimistic bias about the future risk of alzheimer's disease","Park, Jin Seong (1)| Ju, Ilwoo (2)",23.34,0.79,72.98,0.16,1.74,1,"Univ Tennessee, Sch Advertising & Publ Relat, Knoxville, TN 37996 USA",USA
Park,Sung-Yeon,Professionalism and Commercialism on Cosmetic Surgeons' Websites,"Park, Sung-Yeon (1)| Park, SangHee (2)",23.34,0.79,72.98,0.16,1.74,1,"Univ Nevada, Sch Community Hlth Sci, 203 Lombardi Recreat Ctr,1664 North Virginia St, Reno, NV 89557 USA",USA
Park,Ji Hoon,The Uncomfortable Encounter Between an Urban Black and a Rural White: The Ideological Implications of Racial Conflict on MTV's The Real World,"Park, Ji Hoon (1)",23.34,0.79,72.98,0.16,1.74,1,"Hope Coll, Dept Commun, Holland, MI 49423 USA",USA
Park,Hee Sun,The effects of shared cognition on group satisfaction and performance: Politeness and efficiency in group interaction,"Park, Hee Sun (1)",23.34,0.79,72.98,0.16,1.74,1,"Michigan State Univ, Dept Commun, E Lansing, MI 48824 USA",USA
Park,Se Jung,Expanding the presidential debate by tweeting: The 2012 presidential election debate in South Korea,"rk, Se Jung (1)| Park, Ji Young (2)| Lim, Yon Soo (3)| Park, Han Woo (4)",23.34,0.79,72.98,0.16,1.74,1,"Georgia State Univ, Dept Commun, Atlanta, GA 30302 USA",USA
Park,Sejin,Framing a mystery: Information subsidies and media coverage of Malaysia airlines flight 370,"ark, Sejin (1)| Bier, Lindsey M. (2)| Palenchar, Michael J. (3)",23.34,0.79,72.98,0.16,1.74,1,"Univ Tennessee, Sch Advertising & Publ Relat, Coll Commun & Informat, 476 Commun Bldg, Knoxville, TN 37996 USA",USA
Park,Young Eun,A good company gone bad An examination of corporate social responsibility agenda-building in times of corporate crisis using machine learning techniques,"rk, Young Eun (1)| Son, Hyunsang (2)| Yang, Sung-Un (3)| Lee, Jae Kook (4)",23.34,0.79,72.98,0.16,1.74,1,"Indiana Univ, Bloomington, IN USA",USA
Muhamad,Jessica Wendorf,Framing Autism: A Content Analysis of Five Major News Frames in US-Based Newspapers,"Muhamad, Jessica Wendorf (1)| Yang, Fan (2)",18.98,48.91,19.71,(S),5.84,(S),"Univ Miami, Miller Sch Med, Dept Publ Hlth Sci, 1120 NW 14th St,Suite 1006, Miami, FL 33136 USA",USA
Moy,Patricia,Problems and Prospects in Survey Research,"Moy, Patricia (1)| Murphy, Joe (2)",18.59,4.27,67.9,0.28,5.64,3.33,"Univ Washington, Polit Sci, Seattle, WA 98195 USA",USA
Sha,Bey-Ling,2010 Practice Analysis: Professional competencies and work categories in public relations today,"Sha, Bey-Ling (1)",17.39,2.36,75.71,(S),(S),2.65,"San Diego State Univ, Sch Journalism & Media Studies, San Diego, CA 92182 USA",USA
Sha,BL,"Future professionals' perceptions of work, life, and gender issues in public relations","Sha, BL (1)| Toth, EL (2)",17.39,2.36,75.71,(S),(S),2.65,"San Diego State Univ, Sch Commun, San Diego, CA 92182 USA",USA
Rao,Pallavi,Caste and the LoSHA Discourse,"Rao, Pallavi (1)",17.02,0.27,78.55,0.16,2.91,1.09,"Indiana Univ, Media Sch, Franklin Hall,601 E Kirkwood Ave, Bloomington, IN 47405 USA",USA
Rao,Shakuntala,"""THE """"LOCAL"""" IN GLOBAL MEDIA ETHICS""","Rao, Shakuntala (1)",17.02,0.27,78.55,0.16,2.91,1.09,"SUNY Coll Plattsburgh, Dept Commun Studies, Plattsburgh, NY 12901 USA",USA
RAO,VR,APPLICATIONS OF CONJOINT MEASUREMENT TO COMMUNICATION RESEARCH,"RAO, VR (1)| CRAIG, CS (2)",17.02,0.27,78.55,0.16,2.91,1.09,"CORNELL UNIV,ITHACA,NY 14850",USA
RAO,AG,ADVERTISING-SALES RESPONSE FUNCTIONS,"RAO, AG (1)| MILLER, PB (2)",17.02,0.27,78.55,0.16,2.91,1.09,"NYU,SCH BUSINESS ADM,NEW YORK,NY 10003",USA
Hameed,Salman,Making sense of Islamic creationism in Europe,"Hameed, Salman (1)",16.92,19.54,57.04,(S),5.24,(S),"Hampshire Coll, Ctr Study Sci Muslim Soc SSiMS, Amherst, MA 01002 USA",USA
Carbonell,Isabelle M.,The ethics of big data in big agriculture,"Carbonell, Isabelle M. (1)",16.67,(S),17.26,(S),2.24,62.91,"Univ Calif Santa Cruz, Film & Digital Media, Santa Cruz, CA 95064 USA",USA
Sen,Biswarup,A new kind of radio: FM broadcasting in India,"Sen, Biswarup (1)",16.12,(S),75.48,(S),4.58,2.97,"Univ Oregon, Eugene, OR 97403 USA",USA
SEN,RAH,HEALTH PROFESSIONALS ATTITUDES TOWARD ABORTION,"SEN, RAH (1)| WERLEY, HH (2)| AGER, JW (3)| SHEA, FP (4)",16.12,(S),75.48,(S),4.58,2.97,"WAYNE STATE UNIV,DEPT SOCIOL,DETROIT,MI 48202",USA
Mares,ML,Positive effects of television on children's social interactions: A meta-analysis,"Mares, ML (1)| Woodard, E (2)",16.02,0.48,0.25,0.5,0.25,82.5,"Univ Wisconsin, Madison, WI USA",USA
Ahmed,Saifuddin,Media representation of Muslims and Islam from 2000 to 2015: A meta-analysis,"Ahmed, Saifuddin (1)| Matthes, Joerg (2)",15.69,22.02,56.54,0.36,3.96,1.44,"Univ Calif Davis, Dept Commun, 354 Kerr Hall,1 Shields Ave, Davis, CA 95616 USA",USA
Lan,Xiaomeng,Does money talk? A framing analysis of the Chinese Government's strategic communications in the establishment of the Asian Infrastructure Investment Bank,"Lan, Xiaomeng (1)",14.56,(S),77.25,(S),2.36,3.59,"Univ Florida, Coll Journalism & Commun, Gainesville, FL 32611 USA",USA
DELAZERDA,N,EMPLOYMENT INTERVIEWERS REACTIONS TO MEXICAN-AMERICAN SPEECH,"DELAZERDA, N (1)| HOPPER, R (2)",14.38,(S),(S),0,(S),83.66,"UNIV TEXAS,AUSTIN,TX 78712",USA
Ghose,S,Interactive functions and their impacts on the appeal of Internet Presence Sites,"Ghose, S (1)| Dou, WY (2)",14,(S),72,(S),12.29,(S),"Univ Wisconsin, Sch Business Adm, Milwaukee, WI 53201 USA",USA
Kam,Cindy D.,"Risk Attitudes, Candidate Characteristics, and Vote Choice","Kam, Cindy D. (1)| Simas, Elizabeth N. (2)",14,1.23,70.95,0.16,10.27,3.39,"Vanderbilt Univ, Dept Polit Sci, Nashville, TN 37203 USA",USA
Saleem,Muniba,Muslim Americans' Responses to Social Identity Threats: Effects of Media Representations and Experiences of Discrimination,"Saleem, Muniba (1)| Ramasubramanian, Srividya (2)",13.54,21.44,57.64,0.39,5.03,1.96,"Univ Michigan, Dept Commun, Inst Social Res, Ann Arbor, MI 48109 USA",USA
Eng,Li Li,The effects of advertising and brand value on future operating and market performance,"Eng, Li Li (1)| Keh, Hean Tat (2)",13.5,(S),77.38,(S),5.96,2.79,"Oklahoma State Univ, William S Spears Sch Business, Stillwater, OK 74078 USA",USA
Kwak,Hyokjin,Self-disclosure in online media An active audience perspective,"Kwak, Hyokjin (1)",13.39,(S),84.69,(S),1.33,0.34,"Drexel Univ, LeBow Coll Business, Dept Mkt, Philadelphia, PA 19104 USA",USA
