last_name,first_name,article_title,fa_insti
Coleman, Renita ,The effects of visuals on ethical reasoning: What's a photograph worth to journalists making moral decisions?,"Univ Texas, Sch Journalism, Austin, TX 78712 USA"
Coleman, CL ,Examining influences of pharmacists' communication with consumers about antibiotics,"Portland State Univ, Dept Commun, Portland, OR 97207 USA"
Coleman, Renita ,"The Moral Judgment of Minority Journalists: Evidence From Asian American, Black, and Hispanic Professional Journalists","Univ Texas Austin, Sch Journalism, Austin, TX 78619 USA"
Coleman, S. ,The elusiveness of political truth: From the conceit of objectivity to intersubjective judgement,"Univ Leeds, Leeds LS2 9JT, W Yorkshire, England"
Coleman, R ,The effects of news stories that put crime and violence into context: Testing the public health model of reporting,"Louisiana State Univ, Manship Sch Mass Commun, Baton Rouge, LA 70803 USA"
Coleman, R ,Visual elements in public journalism newspapers in an election: A content analysis of the photographs and graphics in campaign 2000,"Louisiana State Univ, Manship Sch Mass Commun, Baton Rouge, LA 70803 USA"
Coleman, R ,More than words alone: Incorporating broadcasters' nonverbal communication into the stages of crisis coverage theory - Evidence from September 11th,"Univ Texas, Sch Journalism, Austin, TX 78712 USA"
Coleman, S ,The lonely citizen: Indirect representation in an age of networks,"Univ Oxford, Oxford Internet Inst, Oxford OX1 3JS, England"
COLEMAN, CL ,"SCIENCE, TECHNOLOGY AND RISK COVERAGE OF A COMMUNITY CONFLICT",Missing
Coleman, Stephen ,Contested meanings of public engagement: exploring discourse and practice within a British city council,"Univ Leeds, Leeds LS2 9JT, W Yorkshire, England"
Coleman, Sarah ,"Playing on the digital commons: collectivities, capital and contestation in videogame culture","Univ Western Ontario, Lib & Informat Sci Program, London, ON N6A 3K7, Canada"
Coleman, Gabriella ,How has the fight for anonymity and privacy advanced since Snowden's whistle-blowing?,"McGill Univ, Montreal, PQ H3A 0G4, Canada"
COLEMAN, CL ,THE INFLUENCE OF MASS-MEDIA AND INTERPERSONAL-COMMUNICATION ON SOCIETAL AND PERSONAL RISK JUDGMENTS,Missing
COLEMAN, JS ,COMMENT ON 3 CLIMATE OF OPINION STUDIES,Missing
COLEMAN, JS ,AUTHORITY SYSTEMS,Missing
COLEMAN, JS ,ON THE CONCEPT OF INFLUENCE - COMMENT,Missing
COLEMAN, KM ,THE POLLS - A REVIEW - THE 1985 USIA CENTRAL AMERICAN SURVEYS,"UNIV ARIZONA,FAC SOCIAL 9 BEHAV SCI,TUCSON,AZ 85721"
Coleman, S ,New mediation and direct representation: reconceptualizing representation in the digital age,"Oxford Internet Inst, Oxford OX1 3JS, England"
Coleman, Stephen ,Rethinking Election Debates: What Citizens Are Entitled to Expect,"Univ Leeds, Sch Media & Commun, Polit Commun, Leeds LS2 9JT, W Yorkshire, England"
Coleman,Stephen,Studying Real-Time Audience Responses to Political Messages: A New Research Agenda,"Univ Leeds, Leeds, W Yorkshire, England"
Coleman,Stephen,A CONSTRUCTIVIST STUDY OF TRUST IN THE NEWS,"Univ Leeds, Inst Commun Studies, Leeds LS2 9JT, W Yorkshire, England"
Coleman,Cynthia-Lou,Examining claimsmakers' frames in news coverage of direct-to-consumer advertising,"Portland State Univ, Dept Commun, Portland, OR 97207 USA"
Coleman,Renita,Why be a journalist? US students' motivations and role conceptions in the new age of journalism,"Univ Texas Austin, Austin, TX 78712 USA"
Coleman,Renita,Testing the Effect of Framing and Sourcing in Health News Stories,"Univ Texas Austin, Sch Journalism, Austin, TX 78712 USA"
Coleman,Renita,"Public life and the internet: if you build a better website, will citizens become engaged?","Univ Texas Austin, Sch Journalism, Austin, TX 78712 USA"
Mico, Josep-Lluis ,Political activism online: organization and media relations in the case of 15M in Spain,"Univ Ramon Llull, Fac Commun Blanquerna, Barcelona 08001, Spain"
Brinson, SL ,The AIDS risk narrative in the 1994 CDC campaign,Missing
MATTA, FR ,THE UNITED-STATES DECISION TO WITHDRAW FROM UNESCO - RESPONSE,Missing
Brinson, Susan L. ,Developing a television genre: Table talk with Helen Sioussat,"Auburn Univ, Dept Commun & Journalism, Auburn, AL 36849 USA"
Brinson, SL ,Epilogue to the quiz show scandal: A case study of the FCC and corporate favoritism,"Auburn Univ, Auburn, AL 36849 USA"
Brinson, SL ,Missed opportunities: FCC commissioner Frieda Hennock and the UHF debacle,"Auburn Univ, Auburn, AL 36849 USA"
DUBEY, SN ,POWERLESSNESS AND MOBILITY ORIENTATIONS AMONG DISADVANTAGEDBLACKS,Missing
DUBEY, SN ,POSITIVE DISCRIMINATION POLICY AND ETHNOCENTRIC ATTITUDES AMONG THE SCHEDULED CASTES,Missing
Bannerman, Sara ,Relational privacy and the networked governance of the self,"McMaster Univ, Dept Commun Studies & Multimedia, Togo Salmon Hall,Room 302,1280 Main St W, Hamilton, ON L8S 4L8, Canada"
Bannerman, Sara ,Historical Institutionalism in Communication Studies,"McMaster Univ, Dept Commun Studies & Multimedia, Hamilton, ON, Canada"
Hinnant,Amanda,JOURNALISTIC USE OF EXEMPLARS TO HUMANIZE HEALTH NEWS,"Univ Missouri, Missouri Sch Journalism, Columbia, MO 65211 USA"
Hinnant,Amanda,HEALTH JOURNALIST ROLE CONCEPTIONS Existing and emerging professional identities,"Univ Missouri, Sch Journalism, Columbia, MO 65211 USA"
Hinnant,Amanda,How Journalists Characterize Health Inequalities and Redefine Solutions for Native American Audiences,"Univ Missouri, Missouri Sch Journalism, Columbia, MO 65211 USA"
Hinnant,Amanda,Are Health Journalists' Practices Tied to Their Perceptions of Audience? An Attribution and Expectancy-Value Approach,"Univ Missouri, Missouri Sch Journalism, Columbia, MO 65211 USA"
Scriven, M ,Local specificity and regional unity under siege: territorial identity and the television news of Aquitaine,"Univ W England, Bristol BS16 1QY, Avon, England"
Scriven, Paul ,"""The Phenomenology of the """"Other"""" in Computer Game Worlds""","RMIT Univ, Social Res, Melbourne, Vic, Australia"
Scriven, John ,"The Ehrenberg Legacy Lessons in Buying Behavior, Television, Brand Perception, Advertising, and Pricing","London S Bank Univ, Ehrenberg Ctr, London, England"
Asad, Mariam ,"""""""This Is Shared Work:"""" Negotiating Boundaries in a Social Service Intermediary Organization""","Georgia Inst Technol, Digital Media, Atlanta, GA 30308 USA"
Benjamin, Louise M. ,Regulating the government's airwaves: Creation of the Interdepartmental Radio Advisory Committee (IRAC),"Univ Georgia, Dept Telecommun, Athens, GA 30602 USA"
BENJAMIN, LM ,BROADCAST CAMPAIGN PRECEDENTS FROM THE 1924 PRESIDENTIAL-ELECTION,Missing
BENJAMIN, LM ,IN SEARCH OF THE SARNOFF RADIO MUSIC BOX MEMO,Missing
Benjamin, Hazel C. ,LOBBYING FOR BIRTH CONTROL,Missing
Keys, Jobia ,"Doc McStuffins and Dora the Explorer: representations of gender, race, and class in US animation","Georgia State Univ, Atlanta, GA 30303 USA"
ACY, K ,THE DISCOURSE OF REQUESTS - ASSESSMENT OF A COMPLIANCE-GAINING APPROACH,Missing
Gist, Noel P. ,Mate Selection and Mass Communication in India,Missing
Robinson, Rebecca S. ,Pink Hijab Day: Mediation of the Hijab as a Symbol of Protest,"Kennesaw State Univ, Kennesaw, GA 30144 USA"
Robinson, Sue ,A Racial Reckoning of a Progressive Ideology in Public Discourse,"Univ Wisconsin, Madison, WI 53706 USA"
Robinson, Laura ,Foreword to Critical Commentary on Venture Labor,"Santa Clara Univ, Santa Clara, CA 95053 USA"
Robinson, Laura ,"Venture Labor, Media Work, and the Communicative Construction of Economic Value: Agendas for the Field and Critical Commentary","Santa Clara Univ, Santa Clara, CA 95053 USA"
Robinson, Sue ,Legitimation Strategies in Journalism: Public storytelling about racial disparities,"Univ Wisconsin, Sch Journalism & Mass Commun, Madison, WI 53706 USA"
Robinson, Sue ,Networked News Participation: Future Pathways,"Univ Wisconsin, Sch Journalism & Mass Commun, Madison, WI 53706 USA"
Robinson, Cory ,Disclosure of personal data in ecommerce: A cross-national comparison of Estonia and the United States,"Linkoping Univ, Dept Sci & Technol, Campus Norrkoping, S-60174 Norrkoping, Sweden"
Robinson, Sue ,Teaching Journalism for Better Community: A Deweyan Approach,"Univ Wisconsin, Sch Journalism & Mass Commun, Madison, WI 53706 USA"
Robinson, Sue ,'Anyone can know': Citizen journalism and the interpretive community of the mainstream press,"Univ Wisconsin, Sch Journalism & Mass Commun, Madison, WI 53706 USA"
Robinson, Sue ,"When White reporters cover race: News media, objectivity and community (dis)trust","Univ Wisconsin, Madison, WI 53706 USA"
Robinson, Sue ,Crisis of shared public discourses: Journalism and how it all begins and ends with trust,"Univ Wisconsin, 5148 Vitas,821 Univ Ave, Madison, WI 53706 USA"
Robinson, Laura ,INFORMATION-CHANNEL PREFERENCES AND INFORMATION-OPPORTUNITY STRUCTURES,"Santa Clara Univ, Dept Sociol, Santa Clara, CA 95053 USA"
Robinson, John P. ,SOCIAL ATTITUDE DIFFERENCES BETWEEN INTERNET USERS AND NON-USERS Evidence from the General Social Survey,"Univ Maryland, Dept Sociol, College Pk, MD 20742 USA"
Robinson, Laura ,"Endowed, Entrepreneurial, and Empowered-Strivers: Doing a lot with a lot, doing a lot with a little","Santa Clara Univ, Dept Sociol, Santa Clara, CA 95053 USA"
Robinson, Laura ,A TASTE FOR THE NECESSARY A Bourdieuian approach to digital inequality,"Santa Clara Univ, Dept Sociol, Santa Clara, CA 95053 USA"
Robinson, Laura ,NET TIME NEGOTIATIONS WITHIN THE FAMILY,"Santa Clara Univ, Dept Sociol, Santa Clara, CA 95053 USA"
Robinson, Laura ,"The identity curation game: digital inequality, identity work, and emotion management","Santa Clara Univ, Dept Sociol, Santa Clara, CA 95053 USA"
Robinson, John P. ,IT USE AND LEISURE TIME DISPLACEMENT Convergent evidence over the last 15 years,"Univ Maryland, College Pk, MD 20742 USA"
Robinson, Laura ,Collective memory: September 11th now and then,"Santa Clara Univ, Dept Sociol, 500 El Camino, Santa Clara, CA 95053 USA"
Robinson, James D. ,Cancer Patients and the Provision of Informational Social Support,"Univ Dayton, Dept Commun, Dayton, OH 45469 USA"
Robinson, Becky ,Don't Say That to ME: Opposition to Targeting in Weight-Centric Intervention Messages,"Univ Calif Santa Barbara, Dept Commun, Santa Barbara, CA 93106 USA"
Robinson, JD ,"Impersonal, interpersonal, and hyperpersonal social support: Cancer and older adults","Univ Dayton, Dept Commun, Dayton, OH 45469 USA"
Robinson, Jeffrey D. ,How patients understand physicians' solicitations of additional concerns: implications for up-front agenda setting in primary care,"Portland State Univ, Dept Commun, Portland, OR 97201 USA"
Robinson, Melissa J. ,Bedtime Stories that Work: The Effect of Protagonist Liking on Narrative Persuasion,"Ohio State Univ, Sch Commun, 3047 Derby Hall,154 N Oval Mall, Columbus, OH 43210 USA"
Robinson, JD ,"Grounding research and medical education about religion in actual physician-patient interaction: Church attendance, social support, and older adults","Penn State Univ, Dept Commun Arts & Sci, University Pk, PA 16802 USA"
Robinson, James D. ,"Kindness, Gentility, and Rejection: An Analysis of 99 Manuscript Reviews","Univ Dayton, Dept Commun, Dayton, OH 45469 USA"
Robinson, James D. ,Homonymic Puns and Parkinson's Disease,"Univ Dayton, Dept Commun, Dayton, OH 45469 USA"
Robinson, Sue ,The Cyber-Newsroom: A Case Study of the Journalistic Paradigm in a News Narrative's Journey from a Newspaper to Cyberspace,"Univ Wisconsin, Sch Journalism & Mass Commun, Madison, WI 53706 USA"
Robinson, Sue ,The Active Citizen's Information Media Repertoire: An Exploration of Community News Habits During the Digital Age,"Univ Wisconsin, Sch Journalism & Mass Commun, Madison, WI 53706 USA"
Robinson, P ,Theorizing the influence of media on world politics - Models of media influence on foreign policy,"Univ Liverpool, Sch Polit & Commun Studies, Liverpool L69 7ZT, Merseyside, England"
ROBINSON, J ,OPEN UNIVERSITY AS A COOPERATIVE ENTERPRISE,"BRITISH BROADCASTING CORP,LONDON,ENGLAND"
Robinson, SJ ,Uncertain science and certain deadlines: CDC responses to the media during the anthrax attacks of 2001,"Georgia Inst Technol, Atlanta, GA 30332 USA"
ROBINSON, JP ,CHANGING READING HABITS OF THE AMERICAN PUBLIC,Missing
ROBINSON, K ,PUBLIC INFORMATION AND ELECTRONIC PUBLISHING SERVICES,Missing
ROBINSON, MJ ,BOOKS IN THE MARKETPLACE OF IDEAS,"ROSSE & OLSZEWSKI,PALO ALTO,CA"
ROBINSON, MJ ,IMPACT OF INSTANT ANALYSIS,"CATHOLIC UNIV AMER,DEPT POLIT,WASHINGTON,DC 20017"
ROBINSON, GO ,UNITED-STATES POSITION,Missing
Robinson, TN ,Effects of the SMART classroom curriculum to reduce child and family screen time,"Stanford Univ, Sch Med, Div Gen Pediat, Dept Pediat, Stanford, CA 94305 USA"
ROBINSON, MJ ,TELEVISION AND WALLACE VOTE,"CATHOLIC UNIV AMER,WASHINGTON,DC 20017"
ROBINSON, JP ,TELEVISION AND LEISURE-TIME - A NEW SCENARIO,Missing
ROBINSON, DC ,CHANGING FUNCTIONS OF MASS-MEDIA IN THE PEOPLES-REPUBLIC-OF-CHINA,Missing
Robinson, JP ,News media use and the informed public: A 1990s update,Missing
Robinson, Sue ,Convergence Crises: News Work and News Space in the Digitally Transforming Newsroom,"Univ Wisconsin, Sch Journalism & Mass Commun, Madison, WI 53706 USA"
Robinson, Tom ,Older characters in children's animated television programs: A content analysis of their portrayal,"Brigham Young Univ, Dept Commun, Provo, UT 84602 USA"
ROBINSON, DC ,SCALE FOR MEASURING FILM ANALYTICITY,"OHIO STATE UNIV,DEPT COMMUN,COLUMBUS,OH 43210"
ROBINSON, JP ,PUBLIC OPINION DURING WATERGATE CRISIS,"UNIV MICHIGAN,SURVEY RES CTR,ANN ARBOR,MI 48104"
Robinson, JD ,"Getting down to business - Talk, gaze, and body orientation during openings of doctor-patient consultations","Univ Calif Los Angeles, Dept Sociol, Los Angeles, CA 90024 USA"
Robinson, Jeffrey D. ,Managing Counterinformings: An Interactional Practice for Soliciting Information that Facilitates Reconciliation of Speakers' Incompatible Positions,"Portland State Univ, Dept Commun, Portland, OR 97207 USA"
Robinson, JD ,Achieving activity transitions in physician-patient encounters from history taking to physical examination,"Penn State Univ, Dept Speech Commun, University Pk, PA 16802 USA"
ROBINSON, JP ,TOWARD A MORE APPROPRIATE USE OF GUTTMAN SCALING,"UNIV MICHIGAN,SURVEY RES CTR,ANN ARBOR,MI 48104"
ROBINSON, RD ,TURKEYS AGRARIAN REVOLUTION AND THE PROBLEM OF URBANIZATION,Missing
Robinson, Claude E. ,RECENT DEVELOPMENTS IN THE STRAW-POLL FIELD - PART 2,Missing
Robinson, Claude E. ,CURRENT RESEARCH OF THE AMERICAN INSTITUTE OF PUBLIC OPINION,Missing
Robinson, Claude E. ,PRE-ELECTION POLLS IN THE 1942 ELECTIONS,Missing
ROBINSON, JP ,INTERPERSONAL-COMMUNICATION AND NEWS COMPREHENSION,"UNIV MARYLAND,CTR RES PUBL COMMUN,COLLEGE PK,MD 20742"
ROBINSON, JP ,A REPORT - IDEOLOGICAL IDENTIFICATION - TRENDS AND INTERPRETATIONS OF THE LIBERAL-CONSERVATIVE BALANCE,"UNIV MARYLAND,SOCIOL,CATONSVILLE,MD 21228"
ROBINSON, GS ,DONT KNOW BOXES IN FACTUAL QUESTIONS IN A MAIL QUESTIONNAIRE - EFFECTS ON LEVEL AND QUALITY OF RESPONSE,"NCI,DIV CANC ETZOL,BIOSTAT BRANCH,BETHESDA,MD 20205"
ROBINSON, JP ,PUBLIC REACTION TO POLITICAL PROTEST - CHICAGO 1968,Missing
Robinson, Claude E. ,RECENT DEVELOPMENTS IN THE STRAW-POLL FIELD,Missing
ROBINSON, JA ,SURVEY INTERVIEWING AMONG MEMBERS OF CONGRESS,Missing
ROBINSON, MJ ,BELIEVABILITY AND THE PRESS,"GALLUP ORG,PRINCETON,NJ"
ROBINSON, JP ,INTERPERSONAL INFLUENCE IN ELECTION CAMPAIGNS - STEP-FLOW HYPOTHESES,"CLEVELAND STATE UNIV,COMMUN RES CTR,CLEVELAND,OH 44115"
ROBINSON, JP ,PERCEPTUAL MAPS OF WORLD,"UNIV MICHIGAN,SURVEY RES CTR,ANN ARBOR,MI"
ROBINSON, JP ,"TELEVISION AND LEISURE TIME - YESTERDAY, TODAY, AND (MAYBE) TOMORROW","MICHIGAN UNIV,SURVEY RES CTR,ANN ARBOR,MI"
Robinson, Laura ,"Freeways, detours, and dead ends: Search journeys among disadvantaged youth","Santa Clara Univ, Dept Sociol, Santa Clara, CA 95053 USA"
Robinson, Laura ,"The cyberself: the self-ing project goes online, symbolic interaction in the digital age","Univ Calif Los Angeles, Annenberg Ctr Commun, Los Angeles, CA 90089 USA"
Robinson, Jeffrey D. ,Managing trouble responsibility and relationships during conversational repair,"Rutgers State Univ, Dept Commun, New Brunswick, NJ 08901 USA"
Robinson, L ,Debating the events of September 11th: Discursive and interactional dynamics in three online fora,"Univ Calif Los Angeles, Dept Sociol, Los Angeles, CA 90095 USA"
Robinson, Nicholas W. ,Taking sides in the war on news: exploring curvilinear associations and group differences related to perceptions of news media as threat,"Temple Univ, Dept Commun & Social Influence, Klein Coll Media & Commun, Philadelphia, PA 19122 USA"
Robinson, JD ,"""The sequential organization of """"explicit"""" apologies in naturally occurring English""","Rutgers State Univ, Dept Commun, New Brunswick, NJ 08901 USA"
Robinson, Jeffrey D. ,"""What """"What?"""" Tells Us About How Conversationalists Manage Intersubjectivity""","Portland State Univ, Dept Commun, Portland, OR 97201 USA"
Robinson, Jeffrey D. ,Using Full Repeats to Initiate Repair on Others' Questions,"Portland State Univ, Dept Commun, Portland, OR 97207 USA"
ROBINSON, EJ ,HOW AN ADVERTISEMENTS SIZE AFFECTS RESPONSES TO IT,Missing
